JABON DE TOCADOR,BARRA 150 GR.,CAMAY. CLASICO,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,15.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
JABON DE TOCADOR,CAJA CON BARRA 135 GR. ORIGINAL,DOVE,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,28.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
JABON DE TOCADOR,CAJA CON BARRA 75 GR. BABY. HUMECTACIÓN ENRIQUECIDA PARA BEBE,DOVE,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,23.00,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
JABON DE TOCADOR,CAJA CON BARRA 100 GR. RICITOS DE ORO. MANZANILLA PARA BEBE,GRISI,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,17.90,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
JABON DE TOCADOR,CAJA CON BARRA 75 GR. ORIGINAL. HIPOALERGENICO. PARA BEBE,JOHNSON S BABY,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,17.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
JABON DE TOCADOR,BARRA 150 GR. SIENTE LA FRESCURA,ZEST,ARTS. PARA EL CUIDADO PERSONAL,BASICOS,16.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
LECHE CONDENSADA,LATA 387 GR.,LA LECHERA. ORIGINAL,LECHE PROCESADA,BASICOS,19.00,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
LECHE EN POLVO,LATA 360 GR. (ALIMENTO PARA NIÑOS...),NIDO. KINDER,LECHE PROCESADA,BASICOS,59.00,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
LECHE EVAPORADA,LATA 360 GR. EVAPORADA PARCIALMENTE DESCREMADA,CARNATION. CLAVEL,LECHE PROCESADA,BASICOS,20.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
LIMPIADOR LIQUIDO P/PISO,BOTELLA 1 LT. MULTIUSOS. FRESCA LAVANDA,FABULOSO,DETERGENTES Y PRODUCTOS SIMILARES,BASICOS,23.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
LIMPIADOR LIQUIDO P/PISO,BOTELLA 1 LT. MULTIUSOS PINO,PINOL. EL ORIGINAL,DETERGENTES Y PRODUCTOS SIMILARES,BASICOS,24.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
PAÑALES DESECHABLES,PAQUETE 40 PIEZAS. TALLA 4,CHICOLASTIC. CLASSIC,ARTS. DE PAPEL P/HIGIENE PERSONAL,BASICOS,128.00,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
PAÑALES DESECHABLES,PAQUETE 40 PIEZAS. ANTIFUGAS. TALLA 4,CHICOLASTIC. KIDDIES,ARTS. DE PAPEL P/HIGIENE PERSONAL,BASICOS,157.00,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
PAÑALES DESECHABLES,PAQUETE 36 PIEZAS. ETAPA 4. NINA,HUGGIES. ULTRA CONFORT,ARTS. DE PAPEL P/HIGIENE PERSONAL,BASICOS,218.00,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
PAÑALES DESECHABLES,PAQUETE 40 PIEZAS. GRANDE,KLEEN BEBÉ. ABSORSEC ULTRA,ARTS. DE PAPEL P/HIGIENE PERSONAL,BASICOS,105.00,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
PAÑALES DESECHABLES,PAQUETE 38 PIEZAS. GRANDE,KLEEN BEBE. SUAVELASTIC,ARTS. DE PAPEL P/HIGIENE PERSONAL,BASICOS,165.00,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
PAPAS FRITAS Y SIMILARES,BOLSA 170 GR. CHIP'S. PAPAS FRITAS. SABOR SAL DE MAR,BARCEL,CHOCOLATES Y GOLOSINAS,BASICOS,49.90,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
PAPAS FRITAS Y SIMILARES,BOLSA 200 GR. CHURRUMAIS. CON LIMONCITO,SABRITAS,CHOCOLATES Y GOLOSINAS,BASICOS,33.50,2018-01-02,BENAVIDES,FARMACIAS,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION, COL. OLIVARES SANTANA, CP. 20010",AGUASCALIENTES,AGUASCALIENTES,21.895229,-102.311384
